options,Record Count
"헤드업 디스플레이(HUD)
98.0만원",1047
"스타일 UP(M/T 미운영) 
88.0만원",1046
"드라이브 와이즈 II 
169.0만원",1045
"스마트 커넥트(T-map 내비게이션) 
70.0만원",1041
"가죽시트(센터콘솔 슬라이딩 암레스트)
50.0만원",1040
"스포일러 ,",1040
"8"" 스마트 내비게이션(블루링크 서비스 지원)+ACTUNE 프리미엄 사운드 시스템+후방주차가이드시스템
160.0만원",1038
"6단 자동변속기(액티브 에코 시스템 포함)
150.0만원",1038
"스타일 1 
79.0만원",1037
"스노우 화이트 펄 외장컬러
12.0만원",1037
"스마트 팩 
100.0만원",1035
"내비게이션 UVO2.0(8인치)+ KRELL 프리미엄 사운드 시스템(8 스피커, 외장앰프 포함)+ 전자식 룸미러 (ECM) + 자동 요금징수 시스템 (ETCS)
165.0만원",1032
"스타일 UP 
88.0만원",1032
"드라이빙 세이프티 PACK 
190.0만원",1030
"14인치 알로이휠
20.0만원",1029
"프리미엄 
93.0만원",1028
"스마트키 패키지 Ⅰ 
45.0만원",1024
"내비게이션(8인치, 후방카메라)
95.0만원",1024
"인조가죽시트 + 운전석/동승석 열선시트
35.0만원",1023
"선루프 
42.0만원",1021
"블랙박스
17.6만원",1021
"내비게이션(7인치, 후방카메라 포함) & 7 스피커(외장앰프)
145.0만원",1016
"뒷좌석 듀얼 모니터
245.0만원",1015
"버튼시동 & 스마트키 시스템
30.0만원",1015
"18인치 크롬 스퍼터링 휠
20.0만원",1014
"19”(245/40 R19) 메탈릭 알로이 휠
56.0만원",1011
"8인치 스마트 내비게이션(블루링크 서비스 지원) + ACTUNE 프리미엄 사운드 시스템 + 후방카메라
170.0만원",1009
"8인치 프리미엄 와이드 내비게이션 + 전방카메라 + 후방 주차 가이드 시스템(PGS)
230.0만원",1007
"컨비니언스 패키지 
55.0만원",1004
"멀티미디어 패키지 
90.0만원",1004
"플래티넘 패키지 
93.0만원",1002
"스타일1 
30.0만원",999
"스타일 I 
89.0만원",995
"내비게이션(7인치, 후방카메라) & JBL 사운드 시스템(8스피커, 외장앰프)
117.0만원",995
"운전석 통풍시트 + 동승석 통풍시트
39.0만원",993
"내비게이션 UVO 2.0 (8인치, 후방카메라) + 어라운드뷰 모니터링 시스템(AVM) + JBL사운드시스템 (8스피커, 외장앰프)
140.0만원",992
"스타일 패키지 
95.0만원",991
